lat,lng,Place,Country,Language,Year,Translator,img,Title,Publisher,Address,Comments
55.9068009864,9.8403335193,Horsens,Denmark,Danish,2011,Aslaug Mikkelsen,https://raw.githubusercontent.com/digitalkoine/danish_storymap/main/danish/01bis.png,Jane Eyre,Bechs Forlag,Grusdalsvej 28. 8700 Horsens. Denmark,
55.7964844115,12.1474198986,Ølstykke,Denmark,Danish,2015,Anonymous,https://raw.githubusercontent.com/digitalkoine/danish_storymap/main/danish/02.png,Jane Eyre,eBibliotek 1800,Bøgevej 21. 3650 Ølstykke. Denmark,Based on the first complete translation from 1850
55.6785984798,12.5720875375,Copenhagen,Denmark,Danish,2015,Christiane Rohde,https://raw.githubusercontent.com/digitalkoine/danish_storymap/main/danish/03.png,Jane Eyre. Ny Oversæsattelse,Rosenkilde,Nørregade 1. 1165 Copenhagen. Denmark,Vol. 1 and 2
55.682658529,12.5776453818,Copenhagen,Denmark,Danish,2016,Christiane Rohde,https://raw.githubusercontent.com/digitalkoine/danish_storymap/main/danish/04.png,Jane Eyre,Lindhardt og Ringhof,Vognmagergade 11. 4. floor. 1120 Copenhagen. Denmark,
56.3779749488,10.3704855851,Mørke,Denmark,Danish,2016,Luise Hemmer Pihl,https://raw.githubusercontent.com/digitalkoine/danish_storymap/main/danish/05.png,Jane Eyre,Grevas Forlag,Auningvej 33. 8544 Mørke. Denmark,
55.682658529,12.5776453818,Copenhagen,Denmark,Danish,2017,Christiane Rohde,https://raw.githubusercontent.com/digitalkoine/danish_storymap/main/danish/06.png,Jane Eyre,Lindhardt og Ringhof,Vognmagergade 11. 4. floor. 1120 Copenhagen. Denmark,E-book
